Entity,Code,Year,Primary energy consumption,Primary energy consumption (Original Year)
United Arab Emirates,ARE,1990,1.407479,
United Arab Emirates,ARE,2010,5.0688887,
United Kingdom,GBR,1990,0.79161763,
United Kingdom,GBR,2010,2.160092,
United States,USA,1990,0.27662918,
United States,USA,2010,3.3572354,
Uruguay,URY,1990,11.219374,
Uruguay,URY,2010,-7.5885353,
Uzbekistan,UZB,1990,4.6677747,
Uzbekistan,UZB,2010,0.28065956,
Vanuatu,VUT,1990,0,
Vanuatu,VUT,2010,1.9466302,
Venezuela,VEN,1990,6.2481647,
Venezuela,VEN,2010,-5.319941,
Vietnam,VNM,1990,7.589963,
Vietnam,VNM,2010,15.500508,
Western Sahara,ESH,1990,7.765187,
Western Sahara,ESH,2010,0,
Yemen,YEM,1990,4.599529,
Yemen,YEM,2010,-2.9643905,
Zambia,ZMB,1990,1.4480045,
Zambia,ZMB,2010,3.973933,
Zimbabwe,ZWE,1990,5.083961,
Zimbabwe,ZWE,2010,13.34404,
